Complexity|MSE|Equation
1|3.651797609244947|0.10082412
3|0.8609351566936431|custompow(0.93098706, M)
4|0.7782737100205368|gauss(M * -0.036118463)
5|0.4554555893499188|(custompow(0.8999248, M) * 4.4370093)
7|0.44888551632132206|((custompow(0.8979593, M) - -4.203753e-5) * 4.7217216)
8|0.4441845056950695|(custompow(0.917988, M) + gauss(M * 0.046367213))
9|0.3494405710079354|cond(M - 3.1266952, custompow(0.8989619, M) * -4.6527114)
11|0.3016356425971785|(cond(M - 4.5597706, custompow(0.8984049, M) * 4.76127) - -1.9591835e-5)
13|0.29821310671552614|((cond(M - 4.424283, custompow(0.89609313, M) - -5.0255618e-5) - -1.9690533e-6) * -5.112929)
14|0.27303329447378344|((cond(M - 3.048624, custompow(0.9034169, M)) + gauss(10.051853 - M)) * -3.6765575)
16|0.21217457228925451|((gauss((M * 0.5183538) + -4.8473997) + cond(M - 9.272368, custompow(0.9031647, M))) * 3.723233)
18|0.20633815412349474|(((cond(M - 9.272368, custompow(0.90319425, M)) + gauss((M * 0.5145266) + -4.811081)) * 3.7168424) - 4.488446e-7)
19|0.18652512021838924|(((custompow(0.91022915, M) * (gauss((M + -33.92814) * -0.1971975) + 0.42003044)) + gauss(10.065956 - M)) * -4.0967584)
21|0.17319441468239305|(((custompow(0.9131302, M) * (gauss((M + -33.765167) * 0.18447046) + 0.40439588)) + gauss((9.948134 - M) * -0.5848473)) * 3.578807)
23|0.09605998189219667|(((custompow(0.9096591, M) * (gauss((M + -33.949387) * 0.20062868) + 0.43345535)) + gauss(10.065956 - M)) * cond(M - 3.048624, 4.152608))
25|0.03525610950249601|(((cond(M + -9.124649, custompow(0.9100905, M)) * (gauss((M + -33.92814) * 0.192756) + 0.44804737)) + gauss((M * 0.503415) + -4.802664)) * -3.8901854)
26|0.035256099713850325|(((cond(M + -9.124649, custompow(0.9100905, M)) * (gauss((M + -33.92814) * 0.192756) + gauss(-0.8960003))) + gauss((M * 0.503415) + -4.802664)) * -3.8901854)
27|0.025579999306197303|(((cond(M - 9.272368, custompow(0.9065848, M) - -0.00023913571) * (gauss((M + -34.04141) * 0.18346459) - -0.4415525)) + gauss((M * 0.5086343) + -4.836749)) * -4.2745895)
29|0.02294643447111552|((((cond(M - 9.272368, custompow(0.9065848, M) - -0.00023913571) * (gauss((M + -34.04141) * -0.18330927) - -0.4415525)) + gauss((M * 0.50689524) + -4.819597)) * 4.2715716) + -2.4886518e-7)
